风机名,状态码值,状态码描述,激活时间,复位时间
,20042,自检程序4变桨速度故障, 2019-03-17 12:14:47:588, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-03-27 05:43:05:445, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-03-27 05:47:09:373, 2019-03-27 05:50:13:749
,300681,变桨系统轴1桨距角偏差超限, 2019-03-27 19:14:39:021, 2019-03-27 19:15:46:701
,30112,欠速, 2019-03-27 19:37:14:055, 2019-03-27 19:39:45:432
,20032,自检程序3转速故障2, 2019-03-27 19:56:53:515, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-03-27 20:01:04:292, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-27 21:23:45:888, 2019-03-27 21:25:29:408
,60006,偏航齿润滑, 2019-03-27 21:33:36:295, 2019-03-27 21:34:31:315
,30206,系统故障, 2019-03-28 00:26:24:096, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-03-28 04:34:39:996, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-28 05:59:39:670, 2019-03-28 06:36:43:619
,300681,变桨系统轴1桨距角偏差超限, 2019-03-28 07:02:25:893, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-03-28 09:23:38:059, 2019-03-28 11:18:06:448
,80072,齿轮箱润滑油泵马达保护, 2019-03-28 09:41:01:725, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-03-28 10:26:16:883, 2019-03-28 14:54:40:635
,60006,偏航齿润滑, 2019-03-28 15:25:08:090, 2019-03-28 16:21:08:620
,60004,自动解缆, 2019-03-28 16:32:55:793, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-03-28 16:42:06:896, 2019-03-28 16:46:39:896
,30206,系统故障, 2019-03-28 23:36:35:878, 2019-03-28 23:42:29:518
,30206,系统故障, 2019-03-28 23:46:21:258, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-28 23:49:23:147, 2019-03-28 23:59:16:581
